,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth,FP_Pos_Rank,FP_OVR_Rank
173,174,GABRIEL DAVIS,BUF,WR,6.38,2.09,3.57,SWR1,WR65,173
177,178,MARQUEZ VALDES-SCANTLING,GB,WR,6.5,2.21,3.77,SWR1,WR79,213
178,179,JALEN REAGOR,PHI,WR,5.09,0.8,1.37,RWR1,WR60,156
179,180,CHRISTIAN KIRK,ARI,WR,7.0,2.71,4.63,LWR2,WR70,184
180,181,NICO COLLINS,HOU,WR,0.0,-1000.0,-1706.98,RWR1,WR93,266
184,185,BRESHAD PERRIMAN,DET,WR,5.75,1.46,2.49,RWR1,WR75,204
185,186,KEELAN COLE SR.,NYJ,WR,0.0,-1000.0,-1706.98,,WR103,301
186,187,DARIUS SLAYTON,NYG,WR,5.69,1.4,2.39,SWR1,WR77,206
187,188,AMON-RA ST. BROWN,DET,WR,0.0,-1000.0,-1706.98,SWR1,WR81,217
188,189,A.J. GREEN,ARI,WR,4.0,-0.29,-0.5,SWR1,WR76,205
189,190,RASHOD BATEMAN,BAL,WR,0.0,-1000.0,-1706.98,SWR1,WR63,165
190,191,SAMMY WATKINS,BAL,WR,5.0,0.71,1.21,RWR1,WR83,227
191,192,JOSH PALMER,LAC,WR,0.0,-1000.0,-1706.98,,WR110,325
193,194,JAMISON CROWDER,NYJ,WR,9.42,5.13,8.76,SWR1,WR67,178
194,195,DESEAN JACKSON,LAR,WR,6.2,1.91,3.26,LWR2,WR85,244
195,196,KJ HAMLER,DEN,WR,4.62,0.33,0.56,,WR84,243
196,197,QUEZ WATKINS,PHI,WR,2.83,-1.46,-2.49,SWR1,WR115,351
197,198,VAN JEFFERSON,LAR,WR,1.75,-2.54,-4.34,SWR1,WR88,250
