,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth,FP_Pos_Rank,FP_OVR_Rank
55,56,PATRICK MAHOMES,KC,QB,24.93,14.36,22.57,QB1,,
60,61,JOSH ALLEN,BUF,QB,24.69,14.12,22.19,QB1,QB2,39
61,62,KYLER MURRAY,ARI,QB,23.69,13.12,20.62,QB1,QB3,47
64,65,LAMAR JACKSON,BAL,QB,22.2,11.63,18.28,QB1,QB4,51
74,75,DAK PRESCOTT,DAL,QB,27.0,16.43,25.82,QB1,QB5,61
82,83,AARON RODGERS,GB,QB,23.88,13.31,20.92,QB1,QB7,69
87,88,RUSSELL WILSON,SEA,QB,22.5,11.93,18.75,QB1,QB6,67
88,89,JUSTIN HERBERT,LAC,QB,22.2,11.63,18.28,QB1,QB8,71
100,101,TOM BRADY,TB,QB,21.12,10.55,16.58,QB1,QB9,85
101,102,MATTHEW STAFFORD,LAR,QB,16.31,5.74,9.02,QB1,QB12,96
102,103,RYAN TANNEHILL,TEN,QB,21.44,10.87,17.08,QB1,QB10,86
105,106,JALEN HURTS,PHI,QB,7.2,-3.37,-5.3,QB1,QB11,90
114,115,JOE BURROW,CIN,QB,17.4,6.83,10.74,QB1,QB13,107
138,139,TREVOR LAWRENCE,JAX,QB,0.0,-1000.0,-1571.76,QB1,QB16,123
139,140,TUA TAGOVAILOA,MIA,QB,13.5,2.93,4.61,QB1,QB17,129
142,143,TREY LANCE,SF,QB,0.0,-1000.0,-1571.76,QB1,QB24,163
153,154,RYAN FITZPATRICK,WAS,QB,17.0,6.43,10.11,QB1,QB19,138
161,162,JUSTIN FIELDS,CHI,QB,0.0,-1000.0,-1571.76,QB1,QB21,142
165,166,MATT RYAN,ATL,QB,17.62,7.05,11.08,QB1,QB14,116
174,175,BAKER MAYFIELD,CLE,QB,15.5,4.93,7.75,QB1,QB18,131
175,176,KIRK COUSINS,MIN,QB,19.12,8.55,13.44,QB1,QB15,121
198,199,ZACH WILSON,NYJ,QB,0.0,-1000.0,-1571.76,QB1,QB27,179
199,200,BEN ROETHLISBERGER,PIT,QB,17.8,7.23,11.36,QB1,QB20,140
