,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth,FP_Pos_Rank,FP_OVR_Rank
9,10,TRAVIS KELCE,KC,TE,13.87,11.19,21.87,TE1,TE1,15
22,23,DARREN WALLER,LV,TE,10.75,8.07,15.77,TE1,TE2,20
31,32,GEORGE KITTLE,SF,TE,9.62,6.94,13.56,TE1,TE3,25
53,54,KYLE PITTS,ATL,TE,0.0,-1000.0,-1954.51,TE1,TE6,56
54,55,T.J. HOCKENSON,DET,TE,6.75,4.07,7.95,TE1,TE5,54
65,66,MARK ANDREWS,BAL,TE,8.0,5.32,10.4,TE1,TE4,49
106,107,NOAH FANT,DEN,TE,5.8,3.12,6.1,TE1,TE7,83
111,112,LOGAN THOMAS,WAS,TE,6.56,3.88,7.58,TE1,TE8,87
117,118,TYLER HIGBEE,LAR,TE,5.6,2.92,5.71,TE1,TE11,103
123,124,IRV SMITH JR.,MIN,TE,5.31,2.63,5.14,TE1,TE13,111
131,132,ROBERT TONYAN,GB,TE,7.81,5.13,10.03,TE1,TE9,89
133,134,DALLAS GOEDERT,PHI,TE,6.36,3.68,7.19,TE1,TE10,94
154,155,EVAN ENGRAM,NYG,TE,4.88,2.2,4.3,TE1,TE16,128
155,156,JONNU SMITH,NE,TE,6.6,3.92,7.66,TE1,TE14,122
162,163,ROB GRONKOWSKI,TB,TE,6.5,3.82,7.47,TE1,TE15,127
172,173,MIKE GESICKI,MIA,TE,7.07,4.39,8.58,TE1,TE12,109
176,177,COLE KMET,CHI,TE,2.12,-0.56,-1.09,TE1,TE21,154
181,182,GERALD EVERETT,SEA,TE,3.25,0.57,1.11,TE1,TE18,141
192,193,HUNTER HENRY,NE,TE,6.07,3.39,6.63,TE2,TE17,133
