,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth
78,79,DEVONTA SMITH,PHI,WR,0.0,-1000.0,-1707.03,LWR1
79,80,DEEBO SAMUEL,SF,WR,6.857142857142857,2.57,4.39,RWR1
80,81,MICHAEL GALLUP,DAL,WR,7.125,2.84,4.85,SWR1
81,82,MARVIN JONES,JAX,WR,9.5,5.21,8.89,
82,83,AARON RODGERS,GB,QB,23.875,13.31,20.92,QB1
83,84,DAMIEN HARRIS,NE,RB,8.6,3.59,7.09,RB1
84,85,RONALD JONES II,TB,RB,11.285714285714286,6.27,12.38,RB1
85,86,CURTIS SAMUEL,WAS,WR,9.0,4.71,8.04,RWR1
86,87,MIKE WILLIAMS,LAC,WR,7.066666666666666,2.78,4.75,RWR1
87,88,RUSSELL WILSON,SEA,QB,22.5,11.93,18.75,QB1
88,89,JUSTIN HERBERT,LAC,QB,22.2,11.63,18.28,QB1
89,90,DJ CHARK,JAX,WR,7.769230769230769,3.48,5.94,
90,91,JAYLEN WADDLE,MIA,WR,0.0,-1000.0,-1707.03,SWR1
91,92,MARQUEZ CALLAWAY,NO,WR,1.9090909090909092,-2.38,-4.06,RWR1
92,93,MELVIN GORDON,DEN,RB,11.066666666666666,6.05,11.94,
93,94,MICHAEL CARTER,NYJ,RB,0.0,-1000.0,-1973.86,RB1
94,95,AJ DILLON,GB,RB,3.4545454545454546,-1.56,-3.08,
95,96,GUS EDWARDS,BAL,RB,7.4375,2.42,4.78,RB2
96,97,JAMES CONNER,ARI,RB,10.0,4.99,9.85,RB2
97,98,JAMAAL WILLIAMS,DET,RB,6.857142857142857,1.84,3.63,RB2
98,99,ELIJAH MOORE,NYJ,WR,0.0,-1000.0,-1707.03,RWR1
99,100,TONY POLLARD,DAL,RB,5.8125,0.8,1.58,RB2
100,101,TOM BRADY,TB,QB,21.125,10.56,16.6,QB1
101,102,MATTHEW STAFFORD,LAR,QB,16.3125,5.74,9.02,QB1
102,103,RYAN TANNEHILL,TEN,QB,21.4375,10.87,17.09,QB1
103,104,NYHEIM HINES,IND,RB,8.125,3.11,6.14,RB2
104,105,KENYAN DRAKE,LV,RB,11.133333333333333,6.12,12.08,RB2
105,106,JALEN HURTS,PHI,QB,7.2,-3.37,-5.3,QB1
106,107,NOAH FANT,DEN,TE,5.8,3.12,6.1,TE1
107,108,JAKOBI MEYERS,NE,WR,6.0,1.71,2.92,RWR1
108,109,JARVIS LANDRY,CLE,WR,7.733333333333333,3.45,5.89,RWR1
109,110,DEVIN SINGLETARY,BUF,RB,6.625,1.61,3.18,RB2
110,111,ZACK MOSS,BUF,RB,6.769230769230769,1.76,3.47,RB1
111,112,LOGAN THOMAS,WAS,TE,6.5625,3.88,7.58,TE1
112,113,LEONARD FOURNETTE,TB,RB,7.384615384615385,2.37,4.68,RB2
113,114,DARNELL MOONEY,CHI,WR,5.6875,1.4,2.39,RWR1
114,115,JOE BURROW,CIN,QB,17.4,6.83,10.74,QB1
115,116,DEVANTE PARKER,MIA,WR,7.357142857142857,3.07,5.24,RWR1
116,117,PHILLIP LINDSAY,HOU,RB,5.363636363636363,0.35,0.69,RB1
117,118,TYLER HIGBEE,LAR,TE,5.6,2.92,5.71,TE1
118,119,SONY MICHEL,LAR,RB,7.555555555555555,2.54,5.01,RB2
119,120,MECOLE HARDMAN,KC,WR,5.4375,1.15,1.96,RWR1
120,121,RONDALE MOORE,ARI,WR,0.0,-1000.0,-1707.03,RWR1
121,122,ALEXANDER MATTISON,MIN,RB,5.6923076923076925,0.68,1.34,RB2
122,123,MALCOLM BROWN,MIA,RB,5.375,0.36,0.71,RB2
123,124,IRV SMITH JR.,MIN,TE,5.3076923076923075,2.62,5.12,TE1
124,125,MICHAEL PITTMAN JR.,IND,WR,4.538461538461538,0.25,0.43,RWR1
125,126,DAVID JOHNSON,HOU,RB,12.25,7.24,14.29,RB2
126,127,TEVIN COLEMAN,NYJ,RB,1.125,-3.89,-7.68,RB2
127,128,DAMIEN WILLIAMS,CHI,RB,0.0,-1000.0,-1973.86,RB2
128,129,RUSSELL GAGE,ATL,WR,6.8125,2.53,4.32,RWR1
129,130,HENRY RUGGS III,LV,WR,4.461538461538462,0.18,0.31,LWR1
130,131,EMMANUEL SANDERS,BUF,WR,7.428571428571429,3.14,5.36,RWR1
131,132,ROBERT TONYAN,GB,TE,7.8125,5.13,10.02,TE1
132,133,MARQUISE BROWN,BAL,WR,7.8125,3.53,6.03,LWR1
133,134,DALLAS GOEDERT,PHI,TE,6.363636363636363,3.68,7.19,TE1
134,135,COLE BEASLEY,BUF,WR,8.4,4.11,7.02,LWR2
135,136,DARRYNTON EVANS,TEN,RB,2.8,-2.21,-4.36,RB2
136,137,GIOVANI BERNARD,TB,RB,6.9375,1.92,3.79,RB3
137,138,JAMES WHITE,NE,RB,4.857142857142857,-0.16,-0.32,RB2
138,139,TREVOR LAWRENCE,JAX,QB,0.0,-1000.0,-1571.77,QB1
139,140,TUA TAGOVAILOA,MIA,QB,13.5,2.93,4.61,QB1
140,141,BRYAN EDWARDS,LV,WR,2.0833333333333335,-2.2,-3.76,RWR1
141,142,TERRACE MARSHALL JR.,CAR,WR,0.0,-1000.0,-1707.03,SWR1
142,143,TREY LANCE,SF,QB,0.0,-1000.0,-1571.77,QB1
143,144,J.D. MCKISSIC,WAS,RB,6.9375,1.92,3.79,RB2
144,145,RASHAAD PENNY,SEA,RB,1.0,-4.01,-7.92,RB2
145,146,CARLOS HYDE,JAX,RB,6.9,1.89,3.73,RB2
