"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Derrick Henry",TEN,"RB3","13","3 out of 5 stars","0"
"4",1,"Alvin Kamara",NO,"RB4","6","2 out of 5 stars","0"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","0"
"6",1,"Nick Chubb",CLE,"RB6","13","4 out of 5 stars","0"
"7",1,"Aaron Jones",GB,"RB7","13","0 out of 5 stars","+2"
"8",2,"Jonathan Taylor",IND,"RB8","14","4 out of 5 stars","+2"
"9",2,"Saquon Barkley",NYG,"RB9","10","2 out of 5 stars","-1"
"10",2,"Davante Adams",GB,"WR1","13","1 out of 5 stars","-3"
"11",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","0"
"12",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+4"
"13",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","+8"
"14",2,"Antonio Gibson",WAS,"RB10","9","3 out of 5 stars","+3"
"15",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-3"
"16",3,"D.K. Metcalf",SEA,"WR5","9","1 out of 5 stars","+2"
"17",3,"DeAndre Hopkins",ARI,"WR6","12","2 out of 5 stars","+2"
"18",3,"Joe Mixon",CIN,"RB11","10","3 out of 5 stars","+2"
"19",3,"A.J. Brown",TEN,"WR7","13","3 out of 5 stars","+4"
"20",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","+7"
"21",3,"Najee Harris",PIT,"RB12","7","5 out of 5 stars","-6"
"22",3,"Austin Ekeler",LAC,"RB13","7","4 out of 5 stars","-9"
"23",3,"Justin Jefferson",MIN,"WR8","7","3 out of 5 stars","+2"
"24",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-10"
"25",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","+1"
"26",3,"Terry McLaurin",WAS,"WR9","9","3 out of 5 stars","+8"
"27",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-5"
"28",3,"Mike Evans",TB,"WR10","9","2 out of 5 stars","+8"
"29",3,"Allen Robinson II",CHI,"WR11","10","3 out of 5 stars","+9"
"30",3,"Chris Carson",SEA,"RB15","9","1 out of 5 stars","+2"
"31",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+6"
"32",3,"Keenan Allen",LAC,"WR13","7","3 out of 5 stars","-3"
"33",3,"David Montgomery",CHI,"RB16","10","3 out of 5 stars","-3"
"34",4,"Chris Godwin",TB,"WR14","9","2 out of 5 stars","+8"
"35",4,"Amari Cooper",DAL,"WR15","7","1 out of 5 stars","+9"
"36",4,"Robert Woods",LAR,"WR16","11","5 out of 5 stars","+7"
"37",4,"Julio Jones",TEN,"WR17","13","3 out of 5 stars","+3"
"38",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+17"
"39",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-8"
"40",4,"D'Andre Swift",DET,"RB17","9","0 out of 5 stars","-7"
"41",4,"James Robinson",JAC,"RB18","7","4 out of 5 stars","+7"
"42",4,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","-7"
"43",4,"Josh Jacobs",LV,"RB20","8","2 out of 5 stars","-15"
"44",4,"Adam Thielen",MIN,"WR19","7","3 out of 5 stars","+1"
"45",4,"Cooper Kupp",LAR,"WR20","11","5 out of 5 stars","+6"
"46",4,"Tyler Lockett",SEA,"WR21","9","1 out of 5 stars","+8"
"47",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-8"
"48",4,"Brandon Aiyuk",SF,"WR22","6","5 out of 5 stars","+15"
"49",4,"Mark Andrews",BAL,"TE4","8","4 out of 5 stars","+7"
"50",4,"Darrell Henderson",LAR,"RB21","11","4 out of 5 stars","+8"
"51",5,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-10"
"52",5,"Tee Higgins",CIN,"WR23","10","2 out of 5 stars","+21"
"53",5,"Diontae Johnson",PIT,"WR24","7","2 out of 5 stars","+7"
"54",5,"T.J. Hockenson",DET,"TE5","9","4 out of 5 stars","+8"
"55",5,"Kenny Golladay",NYG,"WR25","10","3 out of 5 stars","+12"
"56",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-7"
"57",5,"Odell Beckham Jr.",CLE,"WR26","13","1 out of 5 stars","+12"
"58",5,"Mike Davis",ATL,"RB22","6","2 out of 5 stars","+1"
"59",5,"Chase Claypool",PIT,"WR27","7","2 out of 5 stars","+12"
"60",5,"Kareem Hunt",CLE,"RB23","13","4 out of 5 stars","-14"
"61",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-11"
"62",5,"Myles Gaskin",MIA,"RB24","14","4 out of 5 stars","-15"
"63",5,"Ja'Marr Chase",CIN,"WR28","10","2 out of 5 stars","+3"
"64",5,"Damien Harris",NE,"RB25","14","3 out of 5 stars","+10"
"65",5,"Jerry Jeudy",DEN,"WR29","11","4 out of 5 stars","+13"
"66",5,"Courtland Sutton",DEN,"WR30","11","4 out of 5 stars","+13"
"67",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-15"
"68",5,"Gus Edwards",BAL,"RB26","8","4 out of 5 stars","+41"
"69",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-16"
"70",5,"Javonte Williams",DEN,"RB27","11","5 out of 5 stars","-5"
"71",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-14"
"72",5,"J.K. Dobbins",BAL,"RB28","8","4 out of 5 stars","-48"
"73",5,"JuJu Smith-Schuster",PIT,"WR31","7","2 out of 5 stars","+3"
"74",5,"Chase Edmonds",ARI,"RB29","12","3 out of 5 stars","-10"
"75",5,"Robby Anderson",CAR,"WR32","13","5 out of 5 stars","+10"
"76",6,"Raheem Mostert",SF,"RB30","6","3 out of 5 stars","-15"
"77",6,"Ronald Jones II",TB,"RB31","9","0 out of 5 stars","-2"
"78",6,"Deebo Samuel",SF,"WR33","6","5 out of 5 stars","+9"
"79",6,"Melvin Gordon III",DEN,"RB32","11","5 out of 5 stars","-9"
"80",6,"Brandin Cooks",HOU,"WR34","10","3 out of 5 stars","+19"
"81",6,"Tyler Boyd",CIN,"WR35","10","2 out of 5 stars","+5"
"82",6,"D.J. Chark Jr.",JAC,"WR36","7","5 out of 5 stars","0"
